object_id,public_caption,img_title,original_image_url,caption,is_oasc,gcs_url,object_number,is_highlight,is_public_domain,department,object_name,obj_title,culture,period,dynasty,reign,portfolio,artist_role,artist_prefix,artist_display_name,artist_display_bio,artist_suffix,artist_alpha_sort,artist_nationality,artist_begin_date,artist_end_date,object_date,object_begin_date,object_end_date,medium,dimensions,credit_line,geography_type,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rights_and_reproduction,link_resource,metadata_date,repository
51669,,,http://images.metmuseum.org/CRDImages/as/original/DP202623_CRD.jpg,,TRUE,gs://gcs-public-data--met/51669/0.jpg,47.18.50,FALSE,TRUE,Asian Art,Handscroll,,China,Ming (1368â€“1644) or Qing dynasty (1644â€“1911),,,,Artist,,Unidentified Artist,,,Unidentified Artist,,,,,1368,1911,Handscroll; ink and color on paper,12 1/2 x 107 3/4 in. (31.8 x 273.7 cm),"From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/51669,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
51822,,,http://images.metmuseum.org/CRDImages/as/original/DP203222_CRD.jpg,,TRUE,gs://gcs-public-data--met/51822/0.jpg,57.1,FALSE,TRUE,Asian Art,Handscroll,,China,Late Qing dynasty (1644â€“1911),,,,Artist|Artist,Formerly attributed to,Unidentified Artist|Chang Qiling,,,Unidentified Artist|Chang Qiling,,,,early 20th century,1900,1911,Handscroll; ink and color on silk,16 1/4 x 107 7/8 in. (41.3 x 274 cm),"Rogers Fund, 1957",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/51822,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
671006,,,http://images.metmuseum.org/CRDImages/as/original/2015_300_140_D1_Burke.jpg,Detail,TRUE,gs://gcs-public-data--met/671006/2.jpg,2015.300.140,FALSE,TRUE,Asian Art,Hanging scroll,,Japan,Edo period (1615â€“1868),,,,Artist,,Katsukawa Shuntei,"Japanese, 1770â€“1820",,Katsukawa Shuntei,,1770,1820,late 18thâ€“early 19th century,1770,1820,"Hanging scroll; ink, color and gold on paper",Image: 50 9/16 Ã— 23 7/16 in. (128.4 Ã— 59.6 cm) Overall with mounting: 82 7/8 Ã— 28 1/16 in. (210.5 Ã— 71.3 cm) Overall with knobs: 82 7/8 Ã— 30 5/8 in. (210.5 Ã— 77.8 cm),"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/671006,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
438822,,,http://images.metmuseum.org/CRDImages/ep/original/DT50.jpg,Overall,TRUE,gs://gcs-public-data--met/438822/0.jpg,51.112.5,TRUE,TRUE,European Paintings,Painting,The Repast of the Lion,,,,,,Artist,,Henri Rousseau (le Douanier),"French, Laval 1844â€“1910 Paris",,"Rousseau, Henri (le Douanier)",French,1844,1910,ca. 1907,1902,1912,Oil on canvas,44 3/4 x 63 in. (113.7 x 160 cm),"Bequest of Sam A. Lewisohn, 1951",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/438822,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
437382,,,http://images.metmuseum.org/CRDImages/ep/original/DT2159.jpg,Overall,TRUE,gs://gcs-public-data--met/437382/0.jpg,59.16.3,FALSE,TRUE,European Paintings,Painting,Vase of Flowers (Pink Background),,,,,,Artist,,Odilon Redon,"French, Bordeaux 1840â€“1916 Paris",,"Redon, Odilon",French,1840,1916,ca. 1906,1901,1911,Oil on canvas,28 5/8 x 21 1/4 in. (72.7 x 54 cm),"Bequest of Mabel Choate, in memory of her father, Joseph Hodges Choate, 1958",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/437382,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
436525,,,http://images.metmuseum.org/CRDImages/ep/original/DT7098.jpg,Overall,TRUE,gs://gcs-public-data--met/436525/0.jpg,1993.400.4,FALSE,TRUE,European Paintings,Painting,Bouquet of Flowers in a Vase,,,,,,Artist,,Vincent van Gogh,"Dutch, Zundert 1853â€“1890 Auvers-sur-Oise",,"Gogh, Vincent van",Dutch,1853,1890,1890,1890,1890,Oil on canvas,25 5/8 x 21 1/4 in. (65.1 x 54 cm),"The Walter H. and Leonore Annenberg Collection, Gift of Walter H. and Leonore Annenberg, 1993, Bequest of Walter H. Annenberg, 2002",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/436525,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
496203,,,http://images.metmuseum.org/CRDImages/ep/original/DP169319.jpg,Overall,TRUE,gs://gcs-public-data--met/496203/0.jpg,2008.66,FALSE,TRUE,European Paintings,Painting,Woman Standing Beside Railing with Poodle,,,,,,Artist,,Paul Ranson,"French, Limoges 1864â€“1909 Paris",,"Ranson, Paul",French,1864,1909,ca. 1895,1895,1895,Oil on panel,33 1/2 x 11 5/8 in. (85.1 x 29.5 cm),"Gift of Mrs. Patricia Altschul, 2008",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/496203,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
437239,,,http://images.metmuseum.org/CRDImages/ep/original/DP169388.jpg,Overall,TRUE,gs://gcs-public-data--met/437239/0.jpg,1986.264.4,FALSE,TRUE,European Paintings,Painting,"The Grandchildren of Sir William Heathcote, 3rd Baronet",,,,,,Artist,,William Owen,"British, Ludlow 1769â€“1825 London",,"Owen, William",British,1769,1825,,1789,1825,Oil on canvas,55 1/4 x 67 1/2 in. (140.3 x 171.5 cm),"Gift of Heathcote Art Foundation, 1986",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/437239,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
437365,,,http://images.metmuseum.org/CRDImages/ep/original/DP169641.jpg,Overall,TRUE,gs://gcs-public-data--met/437365/0.jpg,50.145.32,FALSE,TRUE,European Paintings,Painting,"William Robertson (1753â€“1835), Lord Robertson",,,,,,Artist,,Sir Henry Raeburn,"British, Stockbridge, Scotland 1756â€“1823 Edinburgh, Scotland",,"Raeburn, Henry, Sir","British, Scottish",1756,1923,1805,1805,1805,Oil on canvas,49 1/2 x 39 1/4 in. (125.7 x 99.7 cm),"Bequest of Mary Stillman Harkness, 1950",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/437365,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
78286,"scroll a, painting only",,http://images.metmuseum.org/CRDImages/as/original/DP289326.jpg,Overall,TRUE,gs://gcs-public-data--met/78286/0.jpg,"2013.29a, b",FALSE,TRUE,Asian Art,Hanging scrolls,ì†Œë‚˜ë¬´ ì•„ëž˜ ì‚¬ìŠ´ ì¡°ì„ |æ¾ä¸‹é›™é¹¿åœ– æœé®®|Deer amid pine trees,Korea,Joseon dynasty (1392â€“1910),,,,Artist,,Unidentified Artist,,Korean,Unidentified Artist,,,,19th century,1800,1899,Two hanging scrolls; ink and color on silk,Image (each scroll): 50 3/4 Ã— 19 1/8 in. (128.9 Ã— 48.6 cm) Overall with mounting: 83 1/4 Ã— 25 in. (211.5 Ã— 63.5 cm) Overall with knobs: 83 1/4 Ã— 27 1/4 in. (211.5 Ã— 69.2 cm),"Purchase, Friends of Asian Art Gifts, 2013",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/78286,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
